,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,18494.09126,17999.33524,17514.78777,17034.61351,16561.43049,16096.6163,15638.31308,15188.64218,14751.93561,14328.54803,13918.49402,13527.71677,13142.63829,12756.97625,12381.97795,12021.34033,11669.88176,11304.22202,10927.08133,10562.89869,10237.96957,9931.399799,9617.516366,9311.416895,9017.565025,8739.079576,8475.307575,8232.450432,8003.607297,7780.261482,7582.045029,7395.376769,6310.537427,6143.930282,5986.768346,5828.538178,5679.780494,5533.700101,5389.99989,5253.040569,5119.961494,4989.195228,4860.460047,4733.792793,4610.070978,4489.287356,4370.968336,4254.932594,4141.721209,4031.105418,3924.600808,3548.246921,3452.055271,3359.952883,3270.549216,3185.306452,3102.243905,3018.561579,2937.506056,2859.260825,2784.493962,,
Afghanistan,AFG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5013.607452,4909.163811,4804.205448,4698.083142,4592.653994,4487.929184,4383.224123,4279.590601,4176.214831,4076.016365,3977.662326,3878.10527,3781.339303,3691.104571,3610.301526,3534.282465,3463.997677,3452.804267,3580.293608,3949.71142,4289.726002,4318.563632,4213.500341,4126.245794,4128.694788,4140.389318,4091.71055,3970.831276,3914.272858,3852.477012,3550.726133,3155.287244,2901.396695,2762.829785,2654.354216,2555.265959,2460.856464,2370.801977,2342.237163,2324.45703,2205.526333,2074.072862,2001.217793,1932.01543,1854.540028,1819.771105,1780.412831,1716.661568,1667.014978,1606.599057,1542.864776,1491.01734,1437.827763,1393.660703,1358.765661,1321.13777,1283.236261,1245.505317,1206.839831,1178.737859,,
Africa Western and Central,AFW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,19040.25,18638.69764,18238.59205,17844.41994,17453.28733,17065.09661,16682.97977,16303.37013,15926.03963,15549.95385,15178.66198,14811.14002,14442.30382,14071.73488,13700.23182,13337.61687,12980.02518,12622.38683,12270.02977,11927.38287,11592.64369,11261.01771,10957.48047,10672.5435,10384.71211,10104.04321,9831.161388,9564.65094,9303.238481,9058.910888,8822.620086,8582.793972,8354.089843,8135.238061,7916.702069,7704.22484,7497.563738,7293.337677,7096.804876,6904.210383,6713.470495,6527.397481,6346.265778,6169.27251,5996.554341,5829.458916,5667.252772,5509.334098,5357.620944,5210.36616,5065.341326,4926.402015,4793.674741,4664.562893,4540.33383,4420.582217,4305.995933,4198.268797,4097.068709,4000.342618,3906.890239,,
Angola,AGO,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,27916.19032,27641.28338,27365.24466,27085.45663,26801.9756,26516.71108,26232.73005,25952.62349,25678.01675,25287.09395,24703.30166,23970.47615,23166.526,22378.91833,21628.10847,20919.72142,20224.57754,19533.48237,18860.21358,18195.51623,17544.67699,16911.10063,16294.20643,15701.39011,15134.28611,14596.45247,14098.11411,13626.37278,13168.94457,12729.69356,12309.19807,11912.70371,11538.04026,11170.01027,10803.09477,10443.88413,10095.21355,9762.938697,9446.465825,9138.696954,8837.293954,8541.237934,8248.014681,7956.808294,7671.907357,7394.351085,7122.72616,6858.629511,6602.788259,6353.342427,6111.068168,5878.289072,5656.277207,5449.035703,5256.092824,5071.43354,4895.015317,4728.864333,4571.339333,4424.364473,4285.82652,,
Albania,ALB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,16206.7719,15718.86948,15261.36362,14828.00343,14425.20904,14050.13024,13685.40261,13301.87037,12922.16199,12596.70547,12295.15877,11992.19304,11712.19183,11446.20454,11185.81722,10941.51536,10702.01222,10482.15579,10275.6785,10067.37657,9867.735659,9661.391571,9458.642175,9261.717191,9073.240955,8899.51979,8723.555708,8560.510397,8333.480486,8184.89464,8234.382988,8284.470867,8335.174405,8386.499793,8438.463836,8491.073167,8544.345311,8598.287375,8652.917642,8708.243729,8790.352702,8816.752485,8849.80208,8886.865576,8932.464261,8988.998335,9057.187215,9126.954237,9188.667947,9234.399615,9259.275195,9274.579618,9291.587279,9310.845162,9337.998398,9352.93997,9361.54604,9384.672492,9424.737167,9479.010335,9567.281462,,
Andorra,AND,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,28468.33844,26487.62065,24725.79129,23148.01232,21578.01176,19928.01667,18374.47601,17008.89248,15798.16789,14718.77623,13747.44087,12869.55103,12078.07118,11363.55453,10721.56543,10148.88896,9641.056973,9199.556929,8820.077134,8490.946757,8141.574657,7780.106003,7465.758285,7201.369082,6900.774041,6622.877888,6386.595435,6234.689846,6000.342225,5569.379004,5242.524917,4987.988368,4884.541571,4938.039805,4932.483121,4877.897991,4827.01661,4802.92193,4804.749943,4792.565146,4745.436502,4541.922114,4246.215943,4076.413376,3965.571402,3854.562331,3779.867058,3762.159069,3910.489926,4057.441857,4107.55655,4197.143389,4280.076488,4372.765816,4372.341752,4278.567846,4198.930311,4126.8928,4078.573275,4027.359502,,
Arab World,ARB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,1265.76933,1233.76219,1202.020494,1171.014964,1140.855754,1110.698732,1080.296165,1050.312463,1020.913735,992.5763898,965.3157352,938.7718931,912.7511717,887.1331414,860.7598315,834.072267,808.6570207,783.0792336,756.6007964,731.4848149,709.2065668,688.191268,667.0187411,645.7782182,625.3193789,605.7966071,587.3473044,570.8522068,555.4062403,540.7460672,528.2238319,514.5741693,500.1733189,486.5227283,474.4321903,462.8898476,451.8008699,441.0481553,430.6691806,420.4283693,410.3847093,400.7105475,391.4017127,382.3430871,373.337992,364.3740597,355.2702182,346.3598633,338.0113876,331.4844715,323.8268085,295.9818062,288.4685128,281.7822651,274.9404259,268.6416371,263.3056669,258.6662886,253.8436711,248.561216,244.8254242,,
United Arab Emirates,ARE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,1087.04317,1034.868158,985.4741116,939.3081682,897.6499524,862.187888,834.7245409,752.1964135,625.8866728,523.49443,447.7251087,389.5962225,343.7221442,306.6939011,276.3163712,243.5594756,211.2054339,185.3513149,164.4718808,147.681402,136.3816139,128.6041308,121.4275017,114.8548694,108.8604416,102.2228007,95.28383148,89.1907898,83.8058587,79.02139899,74.75234548,70.93104084,67.50392535,64.42778676,61.61019476,57.74641164,53.24038745,49.33527298,45.92761379,42.93596101,40.2837047,37.90917266,35.77854227,33.86794257,32.15578836,29.94549919,26.66839715,23.79946004,22.3645002,21.83457601,21.11326592,20.29372323,19.49816659,18.61171496,17.63619285,16.78773421,16.26329185,16.04844319,15.8800989,15.95568489,15.66554766,,
Argentina,ARG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,14088.39678,13856.89754,13631.0345,13413.29063,13205.12364,13004.42645,12807.54614,12613.07329,12420.92771,12228.66242,12037.65907,11848.56816,11658.54594,11468.36238,11285.41364,11110.14595,10935.59031,10762.13694,10591.64685,10424.2543,10258.58701,10095.33104,9934.901896,9777.955686,9625.3875,9476.833362,9331.529493,9188.014851,9048.386183,8914.424305,8787.162702,8666.353036,8549.832214,8436.017043,8326.199985,8222.157515,8122.891334,8027.963707,7935.929437,7846.512752,7760.833439,7678.280267,7599.361258,7522.687343,7445.790628,7369.621738,7296.942034,7223.405179,7147.257567,7072.153941,6997.253338,6925.713493,6857.284297,6786.898432,6716.192916,6651.433214,6593.075004,6539.038665,6492.717428,6461.325592,6444.169076,,
Armenia,ARM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.287492,1986.197678,2038.572078,2073.720946,2091.965346,2112.874116,2137.825041,2165.576459,2129.39679,2135.562613,2143.571473,2155.223881,2167.209075,2179.951691,2193.406031,2207.311579,2221.826309,2237.116765,2252.693116,2265.266356,2268.112827,2269.688948,2275.864357,2282.832989,2292.21669,2302.141371,2310.205456,2315.274262,2316.056053,2315.430578,,
American Samoa,ASM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,919.7028652,906.9345612,894.4236128,881.0572687,867.1002168,853.8587849,840.9204845,827.9068286,814.8043686,805.8517233,803.3493488,804.766695,808.1812813,811.7643386,814.5491001,815.5327625,814.2557389,812.0178644,809.0363133,806.0390929,804.1444367,802.6549356,800.8131333,801.454949,805.0657212,809.0111395,813.1861258,817.3144932,821.160679,824.5330289,820.3574866,807.4032669,792.8400445,777.9423425,762.5863409,746.9976441,731.8480571,718.1130199,705.8887411,694.1478001,683.5898986,675.0441375,667.6595963,660.5774972,653.1760686,645.129274,636.4437482,627.1709765,617.7752961,609.4702297,602.3259046,595.9202384,590.4796512,585.8164817,581.596931,577.9768587,574.7888756,571.8936278,569.1519636,566.1651025,563.0813544,,
Australia,AUS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,46933.12983,45801.52672,44931.50685,44058.38632,43203.37197,42228.13492,41698.44902,40969.27305,40120.68825,39337.97074,38030.45528,37337.78554,36771.30045,35852.2189,35413.5176,35060.21521,34667.41826,34266.61095,33898.30508,33487.61231,32968.6677,32402.00189,31961.60035,31580.18179,31162.29271,30714.77399,30251.09516,29760.16933,29260.6059,28830.72427,28465.57367,28148.6512,27899.36811,27631.96115,27325.92194,26996.22991,26705.69461,26440.83187,26153.15201,25855.54256,25525.68779,25236.96847,24948.35766,24683.03125,24384.38836,24057.5433,23622.47596,23153.81394,22681.53561,22331.40808,22023.25297,21642.10339,21272.79729,20957.85401,20658.38526,20338.22047,20006.02783,19708.96587,19419.90839,19181.84892,19154.84167,,
Austria,AUT,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,7761.456298,7714.032133,7664.638882,7613.720256,7564.412,7511.541142,7455.607281,7416.99406,7391.425006,7365.657768,7332.862075,7290.367794,7250.087825,7237.758253,7256.986928,7269.819345,7267.028961,7272.914806,7285.323054,7285.315334,7266.760122,7261.550486,7273.29471,7273.752571,7270.338276,7265.719516,7261.122918,7250.850558,7218.25794,7163.46373,7092.298267,7014.67176,6957.064665,6930.340501,6919.737835,6910.401121,6902.574924,6895.004995,6881.602898,6865.074818,6838.845588,6805.282433,6772.21221,6730.326582,6684.630903,6651.637192,6630.111047,6609.388504,6592.097657,6576.269662,6554.139636,6524.324878,6485.984436,6435.491337,6363.752805,6295.306174,6251.729171,6221.352791,6193.749493,6168.087794,6141.273635,,
Azerbaijan,AZE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.288138,1082.750707,1068.248086,1055.973767,1045.343295,1035.307626,1025.527613,1016.566973,1008.249882,1000.468488,993.0310391,985.5357598,976.9457654,967.0096582,956.4443606,945.6609138,926.0104526,906.983302,896.2560684,884.6535984,872.9763945,861.7576181,851.0679356,840.9900738,831.6413557,823.5206844,816.4171991,809.5342081,804.012951,800.4734778,,
Burundi,BDI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,3548.351939,3459.490093,3387.386732,3292.261876,3202.427478,3126.204179,3047.847571,2975.990619,2912.067713,2849.509635,2781.088268,2781.212056,2785.167516,2716.28339,2649.730865,2591.029885,2525.365362,2453.456276,2393.226645,2294.861927,2203.234594,2148.934398,2092.11634,2042.032167,1998.394133,1961.237677,1916.998537,1875.002213,1838.549074,1800.591797,1763.718831,1717.190356,1772.111718,1760.633016,1658.337614,1657.192992,1657.319669,1625.961596,1587.463144,1554.822004,1516.347081,1474.180159,1428.337361,1376.073501,1325.900034,1278.995599,1232.560071,1182.745043,1124.318061,1072.901411,1035.19477,998.9049777,963.6623614,931.5000252,910.6066668,895.0615115,874.2685388,848.2689664,820.8669269,797.3346513,775.9064241,,
Belgium,BEL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,1306.627607,1301.436851,1291.743498,1279.575113,1268.007422,1259.471356,1252.480041,1247.562575,1244.034853,1242.808669,1240.545749,1235.697446,1231.815326,1227.945711,1224.402339,1222.216598,1220.70834,1219.569951,1218.474263,1217.132108,1217.164206,1217.495038,1217.591766,1217.610051,1217.247422,1216.813565,1215.776647,1211.917512,1207.523232,1203.927331,1199.461921,1194.605401,1189.947915,1186.286176,1183.804256,1181.493441,1178.63778,1176.123747,1173.431286,1170.588953,1166.569615,1161.351949,1156.500211,1151.505829,1145.189294,1137.660958,1129.337361,1120.451004,1111.472031,1101.363433,1087.127469,1080.406362,1075.325956,1070.562849,1064.377451,1059.002127,1054.930402,1050.139432,1044.479144,1039.98716,1035.715349,,
